,topic,text
47,"[linear, models, regression, bayesian, linear, regression]"," discussion maximum likelihood setting parameters linear gression model seen effective model complexity governed number basis functions needs controlled according size data set adding regularization term log likelihood function means effective model complexity controlled value regularization coefﬁcient although choice number form basis functions course still important determining overall behaviour model leaves issue deciding appropriate model complexity particular problem cannot decided simply maximizing likelihood function always leads excessively complex models ﬁtting dependent hold data used determine model complexity discussed section computationally expensive wasteful valu able data therefore turn bayesian treatment linear regression avoid ﬁtting problem maximum likelihood also lead automatic methods determining model complexity using training data alone simplicity focus case single target variable tension multiple target variables straightforward follows discussion section 
"
48,"[linear, models, regression, bayesian, linear, regression, parameter, distribution]"," begin discussion bayesian treatment linear regression troducing prior probability distribution model parameters ment shall treat noise precision parameter known constant first note likelihood function deﬁned exponential quadratic function corresponding conjugate prior therefore given gaussian distribution form mean covariance bayesian linear regression next compute posterior distribution proportional product likelihood function prior due choice conjugate gaussian prior distribution posterior also gaussian evaluate distribution usual procedure completing square exponential ﬁnding normalization coefﬁcient using standard result normalized gaussian however already done necessary work deriving gen exercise general result allows write posterior distribution directly form note posterior distribution gaussian mode coincides mean thus maximum posterior weight vector simply given map consider inﬁnitely broad prior mean posterior distribution reduces maximum likelihood value given similarly posterior distribution reverts prior furthermore data points arrive sequentially posterior distribution stage acts prior distribution subsequent data point new posterior distribution given exercise remainder chapter shall consider particular form gaussian prior order simplify treatment speciﬁcally consider zero mean isotropic gaussian governed single precision parameter corresponding posterior distribution given log posterior distribution given sum log likelihood log prior function takes form const maximization posterior distribution respect therefore equiva lent minimization sum squares error function addition quadratic regularization term corresponding illustrate bayesian learning linear basis function model well sequential update posterior distribution using simple example involving straight line ﬁtting consider single input variable single target variable linear models regression linear model form two adap tive parameters plot prior posterior distributions directly parameter space generate synthetic data function parameter values ﬁrst choosing values uniform distribution evaluating ﬁnally adding gaussian noise standard deviation obtain target values goal recover values data explore dependence size data set assume noise variance known hence set precision parameter true value similarly parameter shall shortly discuss strategies determining training data figure shows results bayesian learning model size data set increased demonstrates sequential nature bayesian learning current posterior distribution forms prior new data point observed worth taking time study ﬁgure detail illustrates several important aspects bayesian inference ﬁrst row ﬁgure corresponds situation data points observed shows plot prior distribution space together six samples function values drawn prior second row see situation observing single data point location data point shown blue circle right hand column left hand column plot likelihood function data point function note likelihood function provides soft constraint line must pass close data point close determined noise precision comparison true parameter values used generate data set shown white cross plots left column figure multiply likelihood function prior top row normalize obtain posterior distribution shown middle plot second row samples regression function obtained drawing samples posterior distribution shown right hand plot note sample lines pass close data point third row ﬁgure shows effect serving second data point shown blue circle plot right hand column corresponding likelihood function second data point alone shown left plot multiply likelihood function posterior distribution second row obtain posterior distribution shown middle plot third row note exactly posterior distribution would obtained combining original prior likelihood function two data points posterior inﬂuenced two data points two points sufﬁcient deﬁne line already gives relatively compact posterior distribution samples posterior distribution give rise functions shown red third column see functions pass close data points fourth row shows effect observing total data points left hand plot shows likelihood function data point alone middle plot shows resulting posterior distribution absorbed information observations note posterior much sharper third row limit inﬁnite number data points bayesian linear regression figure illustration sequential bayesian learning simple linear model form detailed description ﬁgure given text linear models regression forms prior parameters considered instance generalize gaussian prior give exp 
"
49,"[linear, models, regression, bayesian, linear, regression, predictive, distribution]"," practice usually interested value rather target vari exercise variance predictive distribution given limit second term goes zero variance exercise illustration predictive distribution bayesian linear regression models let return synthetic sinusoidal data set section figure bayesian linear regression figure examples predictive distribution model consisting gaussian basis functions form using synthetic sinusoidal data set section see text detailed discussion model comprising linear combination gaussian basis functions datasets various sizes look corresponding posterior distributions green curves correspond function sin data points generated addition gaussian noise datasets size shown four plots blue circles plot red curve shows mean corresponding gaussian predictive distribution red shaded region spans one standard deviation either side mean note predictive uncertainty depends smallest neighbourhood data points also note level uncertainty decreases data points observed plots figure show point wise predictive variance function order gain insight covariance predictions different values draw samples posterior distribution plot corresponding functions shown figure linear models regression figure plots function using samples posterior distributions corresponding plots figure used localized basis functions gaussians regions away thus note treated unknown introduce predictive distribution student distribution bayesian linear regression figure equivalent kernel gaussian basis versus together data set used generate kernel comprised values equally spaced interval 
"
50,"[linear, models, regression, bayesian, linear, regression, equivalent, kernel]"," posterior mean solution linear basis function model chapter mean written form deﬁned thus mean predictive distribution point given linear combination training set target variables write function data set appear deﬁnition equivalent kernel illustrated case gaussian basis functions figure kernel functions plotted function three different values see localized around mean predictive distribution given obtained forming linear models regression figure examples equiva lent kernels plotted function corre even though insight role equivalent kernel obtained considering covariance given covariance predictive distribution shown figure allows visualize point formulation linear regression terms kernel function suggests seen effective kernel deﬁnes weights training values intuitively pleasing result easily proven informally noting summation equivalent considering predictive mean set target data provided basis functions bayesian model comparison simply obtain note kernel function finally note equivalent kernel satisﬁes important property shared kernel functions general namely expressed form chapter inner product respect vector nonlinear functions 
"
51,"[linear, models, regression]"," shall see ﬁtting associated maximum likelihood bayesian view model comparison simply involves use probabilities model refers probability distribution observed data case polynomial curve ﬁtting problem section given training set wish evaluate posterior distribution expresses preference shown data linear models regression different models shall examine term detail shortly model evidence sometimes also called marginal likelihood viewed likelihood function space models parameters marginalized ratio model evidences two models known bayes factor kass raftery know posterior distribution models predictive distribution given sum product rules example mixture distribution overall predictive distribution obtained averaging predictive distributions individual models weighted posterior probabilities models stance two models posteriori equally likely one predicts narrow distribution around predicts narrow distribution around overall predictive distribution bimodal distribution modes single model simple approximation model averaging use single probable model alone make predictions known model selection model governed set parameters model evidence given sum product rules probability sampling perspective marginal likelihood viewed proba chapterbility generating data set model whose parameters sampled random prior also interesting note evidence precisely normalizing term appears denominator bayes theorem evaluating posterior distribution parameters obtain insight model evidence making simple approx imation integral parameters consider ﬁrst case model single parameter posterior distribution parameters proportional omit dependence model keep notation uncluttered assume posterior distribution sharply peaked around probable value map width posterior approximate tegral value integrand maximum times width peak assume prior ﬂat width prior prior map posterior prior bayesian model comparison figure map posterior prior map taking logs obtain term negative increases magnitude ratio gets smaller thus parameters ﬁnely tuned data posterior distribution penalty term large model set parameters make similar approximation obtain gain insight bayesian model comparison understand successively linear models regression figure simplest complex note distributions normalized model intermedi sim spread large region space datasets distributions normalized see particular data set highest value evidence model implicit bayesian model comparison framework assumption truth corresponds given ﬁnite data seen bayesian framework avoids problem ﬁtting allows models compared basis training data alone however evidence approximation bayesian approach like approach pattern recognition needs make sumptions form model invalid results misleading particular see figure model evidence sensitive many aspects prior behaviour tails indeed evidence deﬁned prior improper seen noting improper prior arbitrary scaling factor words normalization coefﬁcient deﬁned distribution cannot normalized consider proper prior take suitable limit order obtain improper prior example gaussian prior take limit inﬁnite variance evidence zero seen figure may however possible consider evidence ratio two models ﬁrst take limit obtain meaningful answer practical application therefore wise keep aside independent test set data evaluate overall performance ﬁnal system 
"
52,"[linear, models, regression, evidence, approximation]"," fully bayesian treatment linear basis function model would intro duce prior distributions hyperparameters make predictions marginalizing respect hyperparameters well respect parameters however although integrate analytically either hyperparameters complete marginalization variables analytically intractable discuss approximation set hyperparameters speciﬁc values determined maximizing marginal likelihood function obtained ﬁrst integrating parameters framework known statistics literature empirical bayes bernardo smith gelman type maximum likelihood berger generalized maximum likelihood wahba machine learning literature also called evidence approximation gull mackay introduce hyperpriors predictive distribution obtained marginalizing given given deﬁned respectively omitted dependence sharply peaked around values predictive distribution obtained simply marginalizing ﬁxed values linear models regression bayes theorem posterior distribution given prior relatively ﬂat evidence framework values obtained maximizing marginal likelihood function shall proceed evaluating marginal likelihood linear basis function model ﬁnding maxima allow determine values hyperparameters training data alone without recourse cross validation recall ratio analogous regularization parameter aside worth noting deﬁne conjugate gamma prior distri butions marginalization hyperparameters performed analytically give student distribution see section although resulting integral longer analytically tractable might thought approximating integral example using laplace approximation discussed section based local gaussian approximation centred mode posterior distribution might provide practical alternative evidence framework buntine weigend however integrand function typically strongly skewed mode laplace approximation fails capture bulk probability mass leading poorer sults obtained maximizing evidence mackay returning evidence framework note two approaches take maximization log evidence evaluate evidence function analytically set derivative equal zero obtain estimation equations shall section alternatively use technique called expectation maximization algorithm discussed section shall also show two approaches converge solution 
"
53,"[linear, models, regression, evidence, approximation, evaluation, evidence, function]"," marginal likelihood function obtained integrating weight parameters one way evaluate integral make use result conditional distribution linear gaussian model shall evaluate exercise integral instead completing square exponent making use standard form normalization coefﬁcient gaussian write evidence function form exercise exp evidence approximation dimensionality deﬁned recognize equal constant proportionality reg ularized sum squares error function complete square exercise giving introduced together note corresponds matrix second derivatives error function known hessian matrix also deﬁned given using see hence equivalent previous deﬁnition therefore represents mean posterior distribution integral evaluated simply appealing standard result normalization coefﬁcient multivariate gaussian giving exercise exponentonent using write log marginal likelihood form required expression evidence function returning polynomial regression problem plot model evidence order polynomial shown figure assumed prior form parameter ﬁxed form plot instructive referring back figure see polynomial poor data consequently gives relatively low value linear models regression figure polynomial 
"
54,"[linear, models, regression, evidence, approximation, maximizing, evidence, function]"," let ﬁrst consider maximization respect done ﬁrst deﬁning following eigenvector equation follows eigenvalues consider deriva tive term involving respect thus stationary points respect satisfy evidence approximation multiplying rearranging obtain since terms sum quantity written interpretation quantity discussed shortly see value maximizes marginal likelihood satisﬁes exercise note implicit solution depends also mode posterior distribution depends choice therefore adopt iterative procedure make initial choice use ﬁnd given also evaluate given values used estimate using process repeated convergence note matrix ﬁxed compute eigenvalues start simply multiply obtain emphasized value determined purely looking training data contrast maximum likelihood methods independent data set required order optimize model complexity similarly maximize log marginal likelihood respect note eigenvalues deﬁned proportional hence giving stationary point marginal likelihood therefore satisﬁes rearranging obtain exercise implicit solution solved choosing initial value using calculate estimate using repeating convergence determined data values estimated together update linear models regression figure contours likelihood function red hessian mode poste rior given maximum likelihood solution whereas nonzero mode map direction eigenvalue deﬁned small compared quantity close zero corresponding map value also close zero contrast direction eigenvalue large compared quantity close unity map value close maximum likelihood value map evidence approximation single variable given estimate biased maximum likelihood solution mean ﬁtted noise data effect used one degree freedom model corresponding unbiased estimate given takes form map shall see section result obtained bayesian treat ment marginalize unknown mean factor denominator bayesian result takes account fact one degree freedom used ﬁtting mean removes bias maximum likelihood consider corresponding results linear regression model mean target distribution given function contains parameters however parameters tuned data effective number parameters determined data remaining parameters set small values prior reﬂected bayesian result variance factor denominator thereby correcting bias maximum likelihood result illustrate evidence framework setting hyperparameters using sinusoidal synthetic data set section together gaussian basis function model comprising basis functions total number parameters model given including bias simplicity illustration set true value used evidence framework determine shown figure also see parameter controls magnitude parameters plotting individual parameters versus effective number parameters shown figure consider limit number data points large relation number parameters parameters well determined data involves implicit sum data points eigenvalues increase size data set case estimation equations become deﬁned respectively results used easy compute approximation full evidence estimation linear models regression figure left plot shows red curve blue curve versus sinusoidal synthetic data set intersection two curves deﬁnes optimum value given evidence procedure right plot shows corresponding graph log evidence versus red figure plot parameters hyperparameter varied range causing vary range exercises might appear therefore linear models constitute general purpose difﬁculty stems assumption basis functions ﬁxed fortunately two properties real datasets exploit help alleviate problem first data vectors typically lie close non 
"
55,"[linear, models, regression, exercises]"," show tanh function logistic sigmoid function related tanh equivalent linear combination tanh functions form tanh ﬁnd expressions relate new parameters original parameters linear models regression show matrix shown figure consider data set data point associated weighting factor sum squares error function becomes find expression solution minimizes error function give two consider linear model form together sum squares error function form suppose gaussian noise zero mean variance added dependently input variables making use show minimizing averaged noise distribution omitted regularizer using technique lagrange multipliers discussed appendix consider linear basis function regression model multivariate target variable gaussian distribution form exercises together training data set comprising input basis vectors corre sponding target vectors show maximum likelihood solution parameter matrix property column deﬁned respectively consider linear basis function model section suppose already observed data points posterior distribution completing replaced replaced repeat previous exercise instead completing square hand make use general result linear gaussian models given making use result evaluate integral show uncertainty associated linear regression function given satisﬁes saw section conjugate prior gaussian distribution linear regression model consider likelihood function conjugate prior given gam linear models regression gam ﬁnd expressions posterior parameters show predictive distribution model discussed ercise given student distribution form obtain expressions exercise explore detail properties equivalent kernel deﬁned deﬁned suppose basis functions linearly independent number data points taking suitable linear combinations basis functions construct new basis set spanning space orthonormal deﬁned otherwise take show equivalent kernel written use result show kernel satisﬁes summation constraint consider linear basis function model regression deﬁned satisﬁes relation derive result log evidence function linear regression model making use evaluate integral directly show evidence function bayesian linear regression model written form deﬁned completing square show error function bayesian linear regression written form exercises starting verify steps needed show maxi starting verify steps needed show maximiza show marginal probability data words model evidence model described exercise given ﬁrst marginalizing respect respect repeat previous exercise use bayes theorem form 
"
56,"[linear, models, classiﬁcation]"," previous chapter explored class regression models particularly simple analytical computational properties discuss analogous class models solving classiﬁcation problems goal classiﬁcation take input vector assign one discrete classes common scenario classes taken disjoint input assigned one one class input space thereby divided decision regions whose boundaries called decision boundaries decision surfaces chapter consider linear models classiﬁcation mean decision surfaces linear functions input vector hence deﬁned dimensional hyperplanes within dimensional input space datasets whose classes separated exactly linear decision surfaces said linearly separable regression problems target variable simply vector real numbers whose values wish predict case classiﬁcation various linear models classification ways using target values represent class labels probabilistic models convenient case two class problems binary representation single target variable represents class represents class interpret value probability class values probability taking extreme values classes convenient use coding scheme vector length class elements zero except element takes value instance classes pattern class would given target vector interpret value probability class nonprobabilistic models alternative choices target variable representation sometimes prove convenient chapter identiﬁed three distinct approaches classiﬁcation prob lem simplest involves constructing discriminant function directly assigns vector speciﬁc class powerful approach however models conditional probability distribution inference stage subse quently uses distribution make optimal decisions separating inference decision gain numerous beneﬁts discussed section two different approaches determining conditional probabilities one technique model directly example representing parametric models optimizing parameters using training set alternatively adopt generative approach model class conditional densities given together prior probabilities classes compute required posterior probabilities using bayes theorem shall discuss examples three approaches chapter linear regression models considered chapter model prediction given linear function parameters simplest case model also linear input variables therefore takes form real number classiﬁcation problems however wish predict discrete class labels generally posterior probabilities lie range achieve consider generalization model transform linear function using nonlinear function machine learning literature known activation function whereas inverse called link function statistics literature decision surfaces correspond constant constant hence decision surfaces linear functions even function nonlinear reason class models described called generalized linear models discriminant functions lead complex analytical computa algorithms discussed chapter equally applicable ﬁrst regression models chapter begin consider 
"
57,"[linear, models, classiﬁcation, discriminant, functions]"," chapter shall restrict attention linear discriminants 
"
58,"[linear, models, classiﬁcation, discriminant, functions, two, classes]"," simplest representation linear discriminant function obtained taking linear function input vector called weight vector bias confused bias class otherwise cor dimensional hyperplane within dimensional input space consider two points lie decision surface hence vector therefore see bias parameter determines location decision surface properties illustrated case figure furthermore note value gives signed measure per pendicular distance point decision surface see consider linear models classification figure illustration geometry displacement origin controlled bias parameter decision surface given discriminant functions figure attempting construct class discriminant set two class discriminants leads points class right example involving three discriminant functions used separate pair classes alternative introduce binary discriminant functions one avoid difﬁculties considering single class discriminant comprising linear functions form assigning point class decision boundary class class therefore given hence corresponds dimensional hyperplane deﬁned decision regions discriminant always singly connected convex see consider two points lie inside decision region illustrated figure point expressed form linear models classification figure lie inside decision gion point lies line connecting two points must also lie hence decision region must singly connected convex discriminant functions matrix whose column comprises dimensional vector corresponding augmented input vector dummy input representation discussed detail section new input assigned class output largest determine parameter matrix minimizing sum squares error function regression chapter consider training data set deﬁne matrix whose row vector together matrix whose row sum squares error function written setting derivative respect zero rearranging obtain solution form pseudo inverse matrix discussed section obtain discriminant function form interesting property least squares solutions multiple target variables every target vector training set satisﬁes linear constraint constants model prediction value satisfy constraint exercise thus use coding scheme classes predictions made model property elements sum value however summation constraint alone sufﬁcient allow model outputs interpreted probabilities constrained lie within interval least squares approach gives exact closed form solution discrimi nant function parameters however even discriminant function use make decisions directly dispense probabilistic interpretation suf fers severe problems already seen least squares solutions section lack robustness outliers applies equally classiﬁcation application illustrated figure see additional data points right hand ﬁgure produce signiﬁcant change location decision boundary even though point would correctly classiﬁed original decision boundary left hand ﬁgure sum squares error function penalizes predictions correct lie long way correct side decision linear models classification figure left plot shows data two classes denoted red crosses blue circles together decision boundary found least squares magenta curve also logistic regression model green curve discussed later section right hand plot shows corresponding results obtained extra data points added bottom left diagram showing least squares highly sensitive outliers unlike logistic regression boundary section shall consider several alternative error functions classiﬁcation shall see suffer difﬁculty however problems least squares severe simply lack robustness illustrated figure shows synthetic data set drawn three classes two dimensional input space property linear decision boundaries give excellent separation classes indeed technique logistic regression described later chapter gives satisfactory solution seen right hand plot however least squares solution gives poor results small region input space assigned green class failure least squares surprise recall cor responds maximum likelihood assumption gaussian conditional distribution whereas binary target vectors clearly distribution far gaussian adopting appropriate probabilistic models shall obtain clas siﬁcation techniques much better properties least squares moment however continue explore alternative nonprobabilistic methods setting parameters linear classiﬁcation models 
"
59,"[linear, models, classiﬁcation, discriminant, functions, fisher’s, linear, discriminant]"," one way view linear classiﬁcation model terms dimensionality reduction consider ﬁrst case two classes suppose take discriminant functions figure example synthetic data set comprising three classes training data points denoted red dimensional input vector project one dimension using place threshold classify class otherwise class obtain standard linear classiﬁer discussed previous section points class points class mean vectors two classes given linear models classification figure left plot shows samples two classes depicted red blue along histograms mean projected data class however expression using lagrange multiplier perform constrained maximization ﬁnd still problem approach however illustrated considerable overlap projected onto projection formula transforms set labelled data points therefore given deﬁne total within class variance whole data set simply fisher criterion deﬁned ratio class variance within class variance given discriminant functions class covariance matrix given total within class covariance matrix given differentiating respect ﬁnd maximized see always direction furthermore care magnitude direction drop scalar factors multiplying sides obtain note within class covariance isotropic proportional unit matrix ﬁnd proportional difference class means discussed result known fisher linear discriminant although strictly discriminant rather speciﬁc choice direction projection data one dimension however projected data subsequently used construct discriminant choosing threshold classify new point belonging classify belonging otherwise example model class conditional densities using gaussian distributions use techniques section ﬁnd parameters gaussian distributions maximum likelihood found gaussian proximations projected classes formalism section gives expression optimal threshold justiﬁcation gaussian assumption comes central limit theorem noting sum set random variables 
"
60,"[linear, models, classiﬁcation, discriminant, functions, relation, least, squares]"," least squares approach determination linear discriminant based goal making model predictions close possible set target values contrast fisher criterion derived requiring maximum class separation output space interesting see relationship two approaches particular shall show two class problem fisher criterion obtained special case least squares far considered coding target values however adopt slightly different target coding scheme least squares solution linear models classification weights becomes equivalent fisher solution duda hart particular shall take targets class number patterns class total number patterns target value approximates reciprocal prior probability class class shall take targets number patterns class sum squares error function written setting derivatives respect zero obtain respectively making use choice target coding scheme obtain expression bias form used mean total data set given straightforward algebra making use choice second equation becomes exercise deﬁned deﬁned substituted bias using using note always direction thus write ignored irrelevant scale factors thus weight vector coincides found fisher criterion addition also found expression bias value given tells new vector classiﬁed belonging class class otherwise discriminant functions 
"
61,"[linear, models, classiﬁcation, discriminant, functions, fisher’s, discriminant, multiple, classes]"," consider generalization fisher discriminant classes shall assume dimensionality input space greater number classes next introduce linear features feature values conveniently grouped together form vector similarly weight vectors considered columns matrix note including bias parameters deﬁnition generalization within class covariance matrix case classes follows give number patterns class order ﬁnd generalization class covariance matrix follow duda hart consider ﬁrst total covariance matrix mean total data set total number data points total covariance matrix decomposed sum within class covariance matrix given plus additional matrix identify measure class covariance linear models classification dimensional space criterion rewritten explicit function projection matrix form correspond largest eigenvalues one important result common criteria worth emphasizing ﬁrst note composed sum matrices independent result constraint thus rank equal nonzero eigenvalues shows projection onto dimensional subspace spanned eigenvectors alter value therefore unable ﬁnd linear features means fukunaga 
"
62,"[linear, models, classiﬁcation, discriminant, functions, perceptron, algorithm]"," another example linear discriminant model perceptron rosenblatt used construct generalized linear model form discriminant functions nonlinear activation function given step function form vector typically include bias component earlier appropriate context probabilistic class matches choice activation function algorithm used determine parameters perceptron therefore consider alternative error function known perceptron cri class whereas patterns class using target coding scheme follows would like patterns satisfy perceptron criterion tries minimize quantity perceptron criterion therefore given 
"
63,"[linear, models, classiﬁcation, frank, rosenblatt]"," linear models classification denotes set misclassiﬁed patterns contribution error associated particular misclassiﬁed pattern linear function regions space pattern misclassiﬁed zero regions correctly classiﬁed total error function therefore piecewise linear apply stochastic gradient descent algorithm error function section change weight vector given learning rate parameter integer indexes steps algorithm perceptron function unchanged multiply constant set learning rate parameter equal without generality note weight vector evolves training set patterns misclassiﬁed change perceptron learning algorithm simple interpretation follows cycle training patterns turn pattern evaluate perceptron function pattern correctly classiﬁed weight vector remains unchanged whereas incorrectly classiﬁed class add vector onto current estimate weight vector class subtract vector perceptron learning algorithm illustrated figure consider effect single update perceptron learning algorithm see contribution error misclassiﬁed pattern reduced set made use course imply contribution error function misclassiﬁed patterns reduced furthermore change weight vector may caused previously correctly classiﬁed patterns become misclassiﬁed thus perceptron learning rule guaranteed reduce total error function stage however perceptron convergence theorem states exists act solution words training data set linearly separable perceptron learning algorithm guaranteed ﬁnd exact solution ﬁnite number steps proofs theorem found example rosenblatt block nilsson minsky papert hertz bishop note however number steps required achieve con vergence could still substantial practice convergence achieved able distinguish nonseparable problem one simply slow converge even data set linearly separable may many solutions one found depend initialization parameters der presentation data points furthermore datasets linearly separable perceptron learning algorithm never converge discriminant functions figure illustration convergence perceptron learning algorithm showing data points two classes red blue two dimensional feature space top left plot shows initial parameter vector shown black arrow together corresponding decision boundary black line arrow points towards decision region classiﬁed belonging red class data point circled green misclassiﬁed feature vector added current weight vector giving new decision boundary shown top right plot bottom left plot shows next misclassiﬁed point considered indicated green circle feature vector added weight vector giving decision boundary shown bottom right plot data points correctly classiﬁed linear models classification figure illustration mark perceptron hardware photograph left shows inputs array cadmium sulphide photocells aside difﬁculties learning algorithm perceptron pro analogue hardware implementations perceptron built rosenblatt based motor driven variable resistors implement adaptive parameters could time perceptron developed closely related 
"
64,"[linear, models, classiﬁcation, probabilistic, generative, models]"," probabilistic generative models figure plot logistic sigmoid function shown dashed blue deﬁned scaling factor chosen approach model class conditional densities well class priors use compute posterior probabilities bayes theorem consider ﬁrst case two classes posterior probability class written exp deﬁned logistic sigmoid function deﬁned exp easily veriﬁed inverse logistic sigmoid given two classes also known log odds linear models classification note simply rewritten posterior probabilities equivalent form appearance logistic sigmoid may seem rather vacuous however signiﬁcance provided takes simple functional form shall shortly consider situations linear function case posterior probability governed generalized linear model case classes exponent known normalized exponential regarded multiclass generalization logistic sigmoid quantities deﬁned normalized exponential also known softmax function represents smoothed version max function investigate consequences choosing speciﬁc forms class conditional densities looking ﬁrst continuous input variables discussing brieﬂy case discrete inputs 
"
65,"[linear, models, classiﬁcation, probabilistic, generative, models, continuous, inputs]"," let assume class conditional densities gaussian explore resulting form posterior probabilities start shall assume classes share covariance matrix thus density class given exp consider ﬁrst case two classes deﬁned see quadratic terms exponents gaussian densities cancelled due assumption common covariance matrices leading linear function argument logistic sigmoid result illus trated case two dimensional input space figure resulting probabilistic generative models figure left hand plot shows class conditional densities two classes denoted red blue right corresponding posterior probability given logistic sigmoid linear function surface right hand plot coloured using proportion red ink given proportion blue ink given constant given linear functions therefore decision boundaries linear input space prior probabilities enter bias parameter changes priors effect general case classes deﬁned see linear functions consequence cancel relax assumption shared covariance matrix allow class conditional density covariance matrix earlier linear models classification figure left hand plot shows class conditional densities three classes gaussian 
"
66,"[linear, models, classiﬁcation, probabilistic, generative, models, maximum, likelihood, solution]"," speciﬁed parametric functional form class conditional densities determine values parameters together prior class probabilities using maximum likelihood requires data set comprising observations along corresponding class labels consider ﬁrst case two classes gaussian class conditional density shared covariance matrix suppose data set denotes class denotes class denote prior class probability data point class hence similarly class hence thus likelihood function given usual convenient maximize log likelihood function consider ﬁrst maximization respect terms probabilistic generative models log likelihood function depend setting derivative respect equal zero rearranging obtain denotes total number data points class denotes total number data points class thus maximum likelihood estimate simply fraction points class expected result easily generalized multiclass case maximum likelihood estimate prior probability associated class given fraction training set points assigned class exercise consider maximization respect pick log likelihood function terms depend giving const setting derivative respect zero rearranging obtain simply mean input vectors assigned class similar argument corresponding result given mean input vectors assigned class finally consider maximum likelihood solution shared covariance matrix picking terms log likelihood function depend linear models classification deﬁned result easily extended class problem obtain corresponding exercise section let consider case discrete feature values simplicity begin looking binary feature values discuss extension numbers class containing section treated independent conditioned class thus class conditional distributions form linear functions input values case classes exercise seen gaussian distributed discrete inputs posterior class probabilities given generalized linear models logistic sigmoid probabilistic discriminative models classes softmax classes activation functions particular cases members exponential family distributions using form members exponential family see distribution written form exponent note allowing class parameter vector assuming classes share scale parameter two class problem substitute expression class conditional linear function 
"
67,"[linear, models, classiﬁcation, probabilistic, discriminative, models]"," written logistic sigmoid acting linear function wide choice class conditional distributions similarly multiclass case posterior probability class given softmax transformation linear function speciﬁc choices class conditional densities used bayes theorem ﬁnd posterior class probabilities however alternative approach use functional form generalized indirect approach ﬁnding parameters generalized linear model ﬁtting class conditional densities class priors separately applying linear models classification figure illustration role nonlinear basis functions linear classiﬁcation models left plot shows original input space together data points two classes labelled red blue two gaussian basis functions deﬁned space centres shown green crosses contours shown green circles right hand plot shows corresponding feature space together linear decision boundary obtained given logistic regression model form far chapter considered classiﬁcation models work feature space space note discussion linear models regression one probabilistic discriminative models basis functions typically set constant say corresponding parameter plays role bias remainder chapter shall include ﬁxed basis function transformation highlight useful similarities regression models discussed chapter many problems practical interest signiﬁcant overlap class conditional densities corresponds posterior probabilities least values cases opti cannot remove class overlap indeed increase ﬁxed basis function models important limitations section 
"
68,"[linear, models, classiﬁcation, probabilistic, discriminative, models, logistic, regression]"," begin treatment generalized linear models considering problem written logistic sigmoid acting linear function feature vector logistic sigmoid function deﬁned dimensional feature space model adjustable parameters use maximum likelihood determine parameters logistic exercise linear models classification data set likelihood function written usual deﬁne error taking gradient error function respect obtain exercise target value prediction model times basis function vector furthermore comparison section desired could make use result give sequential algorithm term worth noting maximum likelihood exhibit severe ﬁtting furthermore typically continuum exercise probabilistic discriminative models 
"
